code_script,iso_639_3,iso_639_2,Lang
btd_Latn,btd,btd,Batak Dairi
bth_Latn,bth,bth,Biatah Bidayuh
bts_Latn,bts,bts,Batak Simalungun
btt_Latn,btt,btt,Bete-Bendi
btx_Latn,btx,btx,Batak Karo
bud_Latn,bud,bud,Ntcham
bug_Latn,bug,bug,Buginese
buk_Latn,buk,buk,Bugawac
bul_Cyrl,bul,bg,Bulgarian
bum_Latn,bum,bum,Bulu (Cameroon)
bus_Latn,bus,bus,Bokobaru
bvc_Latn,bvc,bvc,Baelelea
bvd_Latn,bvd,bvd,Baeggu
bvr_Latn,bvr,bvr,Burarra
bvz_Latn,bvz,bvz,Bauzi
bwd_Latn,bwd,bwd,Bwaidoka
bwi_Latn,bwi,bwi,Baniwa
bwq_Latn,bwq,bwq,Southern Bobo Madaré
bwu_Latn,bwu,bwu,Buli (Ghana)
bxh_Latn,bxh,bxh,Buhutu
bxr_Cyrl,bxr,bxr,Russia Buriat
byr_Latn,byr,byr,Baruya
byv_Latn,byv,byv,Medumba
byx_Latn,byx,byx,Qaqet
bzd_Latn,bzd,bzd,Bribri
bzh_Latn,bzh,bzh,Mapos Buang
bzi_Thai,bzi,bzi,Bisu
bzj_Latn,bzj,bzj,Belize Kriol English
caa_Latn,caa,caa,Chortí
cab_Latn,cab,cab,Garifuna
cac_Latn,cac,cac,Chuj
caf_Latn,caf,caf,Southern Carrier
cag_Latn,cag,cag,Nivaclé
cak_Latn,cak,cak,Kaqchikel
cao_Latn,cao,cao,Chácobo
cap_Latn,cap,cap,Chipaya
caq_Latn,caq,caq,Car Nicobarese
car_Latn,car,car,Galibi Carib
cas_Latn,cas,cas,Tsimané
cat_Latn,cat,ca,Catalan
cav_Latn,cav,cav,Cavineña
cax_Latn,cax,cax,Chiquitano
cbc_Latn,cbc,cbc,Carapana
cbi_Latn,cbi,cbi,Chachi
cbk_Latn,cbk,cbk,Chavacano
cbr_Latn,cbr,cbr,Cashibo-Cacataibo
cbs_Latn,cbs,cbs,Cashinahua
cbt_Latn,cbt,cbt,Chayahuita
cbu_Latn,cbu,cbu,Candoshi-Shapra
cbv_Latn,cbv,cbv,Cacua
cce_Latn,cce,cce,Chopi
cco_Latn,cco,cco,Comaltepec Chinantec
ccp_Latn,ccp,ccp,Chakma
cdf_Latn,cdf,cdf,Chiru
ceb_Latn,ceb,ceb,Cebuano
ceg_Latn,ceg,ceg,Chamacoco
cek_Latn,cek,cek,Eastern Khumi Chin
ces_Latn,ces,cs,Czech
cfm_Latn,cfm,cfm,Falam Chin
cgc_Latn,cgc,cgc,Kagayanen
cgg_Latn,cgg,cgg,Chiga
cha_Latn,cha,ch,Chamorro
chd_Latn,chd,chd,Highland Oaxaca Chontal
che_Cyrl,che,ce,Chechen
chf_Latn,chf,chf,Tabasco Chontal
chj_Latn,chj,chj,Ojitlán Chinantec
chk_Latn,chk,chk,Chuukese
cho_Latn,cho,cho,Choctaw
chq_Latn,chq,chq,Quiotepec Chinantec
chr_Cher,chr,chr,Cherokee
chr_Latn,chr,chr,Cherokee
chu_Cyrl,chu,cu,Church Slavic
chv_Cyrl,chv,cv,Chuvash
chw_Latn,chw,chw,Chuwabu
chz_Latn,chz,chz,Ozumacín Chinantec
cjk_Latn,cjk,cjk,Chokwe
cjo_Latn,cjo,cjo,Ashéninka Pajonal
cjp_Latn,cjp,cjp,Cabécar
cjs_Cyrl,cjs,cjs,Shor
cjv_Latn,cjv,cjv,Chuave
ckb_Arab,ckb,ckb,Central Kurdish
ckm_Latn,ckm,ckm,Chakavian
cko_Latn,cko,cko,Anufo
ckt_Cyrl,ckt,ckt,Chukot
cle_Latn,cle,cle,Lealao Chinantec
clu_Latn,clu,clu,Caluyanun
cly_Latn,cly,cly,Eastern Highland Chatino
cme_Latn,cme,cme,Cerma
cmn_Hani,cmn,zh,Mandarin Chinese
cmo_Khmr,cmo,cmo,Central Mnong
cmo_Latn,cmo,cmo,Central Mnong
cmr_Latn,cmr,cmr,Mro-Khimi Chin
cnh_Latn,cnh,cnh,Hakha Chin
cni_Latn,cni,cni,Asháninka
cnk_Latn,cnk,cnk,Khumi Chin
cnl_Latn,cnl,cnl,Lalana Chinantec
cnr_Latn,cnr,cnr,Montenegrin
cnt_Latn,cnt,cnt,Tepetotutla Chinantec
cnw_Latn,cnw,cnw,Ngawn Chin
coe_Latn,coe,coe,Koreguaje
cof_Latn,cof,cof,Colorado
cok_Latn,cok,cok,Santa Teresa Cora
con_Latn,con,con,Cofán
cop_Copt,cop,cop,Coptic
cor_Latn,cor,kw,Cornish
cos_Latn,cos,co,Corsican
cot_Latn,cot,cot,Caquinte
cou_Latn,cou,cou,Wamey
cpa_Latn,cpa,cpa,Palantla Chinantec
cpb_Latn,cpb,cpb,Ucayali-Yurúa Ashéninka
cpc_Latn,cpc,cpc,Ajyíninka Apurucayali
cpu_Latn,cpu,cpu,Pichis Ashéninka
cpy_Latn,cpy,cpy,South Ucayali Ashéninka
crh_Cyrl,crh,crh,Crimean Tatar
crh_Latn,crh,crh,Crimean Tatar
cri_Latn,cri,cri,Sãotomense
crj_Cans,crj,crj,Southern East Cree
crk_Cans,crk,crk,Plains Cree
crk_Latn,crk,crk,Plains Cree
crl_Cans,crl,crl,Northern East Cree
crm_Cans,crm,crm,Moose Cree
crn_Latn,crn,crn,El Nayar Cora
crs_Latn,crs,crs,Seselwa Creole French
crt_Latn,crt,crt,Iyojwa'ja Chorote
crx_Latn,crx,crx,Carrier
csb_Latn,csb,csb,Kashubian
csk_Latn,csk,csk,Jola-Kasa
cso_Latn,cso,cso,Sochiapam Chinantec
csw_Cans,csw,csw,Swampy Cree
csw_Latn,csw,csw,Swampy Cree
csy_Latn,csy,csy,Siyin Chin
cta_Latn,cta,cta,Tataltepec Chatino
ctd_Latn,ctd,ctd,Tedim Chin
cto_Latn,cto,cto,Emberá-Catío
ctp_Latn,ctp,ctp,Western Highland Chatino
ctu_Latn,ctu,ctu,Chol
cub_Latn,cub,cub,Cubeo
cuc_Latn,cuc,cuc,Usila Chinantec
cui_Latn,cui,cui,Cuiba
cuk_Latn,cuk,cuk,San Blas Kuna
cul_Latn,cul,cul,Culina
cut_Latn,cut,cut,Teutila Cuicatec
cux_Latn,cux,cux,Tepeuxila Cuicatec
cwd_Cans,cwd,cwd,Woods Cree
cwe_Latn,cwe,cwe,Kwere
cwt_Latn,cwt,cwt,Kuwaataay
cya_Latn,cya,cya,Nopala Chatino
cym_Latn,cym,cy,Welsh
czt_Latn,czt,czt,Zotung Chin
daa_Latn,daa,daa,Dangaléat
dad_Latn,dad,dad,Marik
daf_Latn,daf,daf,Dan
dag_Latn,dag,dag,Dagbani
dah_Latn,dah,dah,Gwahatike
dak_Latn,dak,dak,Dakota
dan_Latn,dan,da,Danish
dar_Cyrl,dar,dar,Dargwa
dbq_Latn,dbq,dbq,Daba
ddg_Latn,ddg,ddg,Fataluku
ddn_Latn,ddn,ddn,Dendi (Benin)
ded_Latn,ded,ded,Dedua
des_Latn,des,des,Desano
deu_Latn,deu,de,German
dga_Latn,dga,dga,Southern Dagaare
dgc_Latn,dgc,dgc,Casiguran Dumagat Agta
dgi_Latn,dgi,dgi,Northern Dagara
dgr_Latn,dgr,dgr,Dogrib
dgz_Latn,dgz,dgz,Daga
dhg_Latn,dhg,dhg,Dhangu-Djangu
dhm_Latn,dhm,dhm,Zemba
dhv_Latn,dhv,dhv,Dehu
did_Latn,did,did,Didinga
dig_Latn,dig,dig,Digo
dik_Latn,dik,dik,Southwestern Dinka
dip_Latn,dip,dip,Northeastern Dinka
diq_Latn,diq,diq,Dimli (individual language)
dis_Latn,dis,dis,Dimasa
diu_Latn,diu,diu,Diriku
div_Thaa,div,dv,Dhivehi
dje_Latn,dje,dje,Zarma
djk_Latn,djk,djk,Eastern Maroon Creole
djr_Latn,djr,djr,Djambarrpuyngu
dks_Latn,dks,dks,Southeastern Dinka
dln_Latn,dln,dln,Darlong
dng_Cyrl,dng,dng,Dungan
dnj_Latn,dnj,dnj,Dan
dnw_Latn,dnw,dnw,Western Dani
dob_Latn,dob,dob,Dobu
doi_Deva,doi,doi,Dogri (macrolanguage)
dop_Latn,dop,dop,Lukpa
dos_Latn,dos,dos,Dogosé
dow_Latn,dow,dow,Doyayo
drg_Latn,drg,drg,Rungus
dru_Latn,dru,dru,Rukai
dsb_Latn,dsb,dsb,Lower Sorbian
dsh_Latn,dsh,dsh,Daasanach
dtb_Latn,dtb,dtb,Labuk-Kinabatangan Kadazan
dtp_Latn,dtp,dtp,Kadazan Dusun
dts_Latn,dts,dts,Toro So Dogon
dty_Deva,dty,dty,Dotyali
dua_Latn,dua,dua,Duala
due_Latn,due,due,Umiray Dumaget Agta
dug_Latn,dug,dug,Duruma
duo_Latn,duo,duo,Dupaninan Agta
dur_Latn,dur,dur,Dii
dwr_Latn,dwr,dwr,Dawro
dww_Latn,dww,dww,Dawawa
dyi_Latn,dyi,dyi,Djimini Senoufo
dyo_Latn,dyo,dyo,Jola-Fonyi
dyu_Latn,dyu,dyu,Dyula
dzo_Tibt,dzo,dz,Dzongkha
ebk_Latn,ebk,ebk,Eastern Bontok
efi_Latn,efi,efi,Efik
eka_Latn,eka,eka,Ekajuk
ekk_Latn,ekk,ekk,Standard Estonian
eko_Latn,eko,eko,Koti
ell_Grek,ell,el,Modern Greek (1453-)
eme_Latn,eme,eme,Emerillon
emi_Latn,emi,emi,Mussau-Emira
eml_Latn,eml,eml,Emiliano-Romagnolo
emp_Latn,emp,emp,Northern Emberá
enb_Latn,enb,enb,Markweeta
eng_Latn,eng,en,English
enl_Latn,enl,enl,Enlhet
enm_Latn,enm,enm,Middle English (1100-1500)
enq_Latn,enq,enq,Enga
enx_Latn,enx,enx,Enxet
epo_Latn,epo,eo,Esperanto
eri_Latn,eri,eri,Ogea
ese_Latn,ese,ese,Ese Ejja
esi_Latn,esi,esi,North Alaskan Inupiatun
esk_Latn,esk,esk,Northwest Alaska Inupiatun
ess_Latn,ess,ess,Central Siberian Yupik
esu_Latn,esu,esu,Central Yupik
eto_Latn,eto,eto,Eton (Cameroon)
etr_Latn,etr,etr,Edolo
etu_Latn,etu,etu,Ejagham
eus_Latn,eus,eu,Basque
eve_Cyrl,eve,eve,Even
ewe_Latn,ewe,ee,Ewe
ewo_Latn,ewo,ewo,Ewondo
ext_Latn,ext,ext,Extremaduran
eza_Latn,eza,eza,Ezaa
faa_Latn,faa,faa,Fasu
fad_Latn,fad,fad,Wagi
fai_Latn,fai,fai,Faiwol
fal_Latn,fal,fal,South Fali
fan_Latn,fan,fan,Fang (Equatorial Guinea)
fao_Latn,fao,fo,Faroese
far_Latn,far,far,Fataleka
fas_Arab,fas,fa,Persian
fat_Latn,fat,fat,Fanti
ffm_Latn,ffm,ffm,Maasina Fulfulde
fij_Latn,fij,fj,Fijian
fil_Latn,fil,fil,Filipino
fin_Latn,fin,fi,Finnish
fit_Latn,fit,fit,Tornedalen Finnish
fkv_Latn,fkv,fkv,Kven Finnish
fmu_Deva,fmu,fmu,Far Western Muria
fon_Latn,fon,fon,Fon
for_Latn,for,for,Fore
fra_Latn,fra,fr,French
frd_Latn,frd,frd,Fordata
fro_Latn,fro,fro,Old French (842-ca. 1400)
frp_Latn,frp,frp,Arpitan
frr_Latn,frr,frr,Northern Frisian
fry_Latn,fry,fy,Western Frisian
fub_Latn,fub,fub,Adamawa Fulfulde
fud_Latn,fud,fud,East Futuna
fue_Latn,fue,fue,Borgu Fulfulde
fuf_Latn,fuf,fuf,Pular
fuh_Latn,fuh,fuh,Western Niger Fulfulde
fuq_Latn,fuq,fuq,Central-Eastern Niger Fulfulde
fur_Latn,fur,fur,Friulian
fuv_Arab,fuv,fuv,Nigerian Fulfulde
fuv_Latn,fuv,fuv,Nigerian Fulfulde
gaa_Latn,gaa,gaa,Ga
gag_Cyrl,gag,gag,Gagauz
gag_Latn,gag,gag,Gagauz
gah_Latn,gah,gah,Alekano
gai_Latn,gai,gai,Borei
gam_Latn,gam,gam,Kandawo
gaw_Latn,gaw,gaw,Nobonob
gaz_Latn,gaz,gaz,West Central Oromo
gbi_Latn,gbi,gbi,Galela
