lang_name	keep_rows
cas_Latn	347
sue_Latn	361
yss_Latn	342
ozm_Latn	353
bku_Latn	321
biv_Latn	348
akp_Latn	347
dts_Latn	344
kdr_Latn	349
fal_Latn	344
mmo_Latn	343
byr_Latn	324
cbv_Latn	346
cbu_Latn	358
eza_Latn	353
kgp_Latn	340
sda_Latn	338
gbo_Latn	341
mfi_Latn	336
bdd_Latn	339
boj_Latn	333
blh_Latn	330
ibg_Latn	324
agn_Latn	329
vmy_Latn	331
sua_Latn	315
gul_Latn	306
rap_Latn	304
bmh_Latn	339
sxn_Latn	322
dyi_Latn	313
tdx_Latn	316
car_Latn	318
heh_Latn	313
dgc_Latn	329
sgb_Latn	318
bpr_Latn	324
gbi_Latn	329
avu_Latn	317
udu_Latn	321
yli_Latn	315
cjs_Cyrl	304
gnn_Latn	310
nhi_Latn	312
urk_Thai	315
kpy_Cyrl	286
qup_Latn	301
qvh_Latn	326
pir_Latn	303
tsc_Latn	300
bxr_Latn	301
thk_Latn	305
grt_Beng	311
kqn_Latn	292
hay_Latn	319
mqb_Latn	310
tbg_Latn	310
bss_Latn	278
trn_Latn	317
jae_Latn	291
myy_Latn	296
ipk_Latn	289
bao_Latn	299
qvz_Latn	305
dua_Latn	290
mwv_Latn	307
nct_Latn	280
kyc_Latn	293
tuo_Latn	290
tee_Latn	287
mop_Latn	295
mxt_Latn	303
qvm_Latn	300
gkn_Latn	270
lam_Latn	294
ntr_Latn	290
sbe_Latn	295
dyo_Latn	294
lex_Latn	306
smk_Latn	281
coe_Latn	283
kpe_Latn	286
mni_Latn	288
xbi_Latn	296
atb_Latn	282
tcf_Latn	294
bfo_Latn	239
cbc_Latn	282
swg_Latn	280
niv_Latn	252
cnt_Latn	264
izz_Latn	284
knf_Latn	277
mpp_Latn	290
kki_Latn	283
nho_Latn	292
sat_Latn	292
kbr_Latn	275
bmu_Latn	274
hig_Latn	280
qxr_Latn	273
orv_Cyrl	252
pma_Latn	288
zpl_Latn	274
