English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Chita;0;chit1283;0;0;0;0;0;0;0;Unknow
Nagoya;0;nago1242;0;0;0;0;0;0;0;Unknow
Enshū;0;ensh1237;jpn;0;0;0;0;0;0;Unknow
Izu;0;izuu1237;jpn;0;0;0;0;0;0;Unknow
Nagano;0;naga1408;jpn;0;0;0;0;0;0;Unknow
Shizuoka;0;shiz1237;jpn;0;0;0;0;0;0;Unknow
Yamanashi;0;yama1263;jpn;0;0;0;0;0;0;Unknow
Chūshin;0;chus1237;0;0;0;0;0;0;0;Unknow
Hokushin;0;hoku1243;0;0;0;0;0;0;0;Unknow
Nanshin;0;nans1238;0;0;0;0;0;0;0;Unknow
Okushin;0;okus1237;0;0;0;0;0;0;0;Unknow
Tōshin;0;tosh1237;0;0;0;0;0;0;0;Unknow
Hichiku;0;hich1237;jpn;0;0;0;0;0;0;Unknow
Hōnichi;0;honi1246;jpn;0;0;0;0;0;0;Unknow
Satsugū;0;sats1241;jpn;0;0;0;0;0;0;Unknow
Chikuho-ben;0;chik1251;jpn;0;0;0;0;0;0;Unknow
Chikugo-ben;0;chik1252;jpn;0;0;0;0;0;0;Unknow
Hakata-ben;0;haka1241;jpn;0;0;0;0;0;0;Unknow
Hita-ben;0;hita1244;jpn;0;0;0;0;0;0;Unknow
Kumamoto-ben;0;kuma1281;jpn;0;0;0;0;0;0;Unknow
Nagasaki-ben;0;naga1405;jpn;0;0;0;0;0;0;Unknow
Saga-ben;0;saga1265;jpn;0;0;0;0;0;0;Unknow
Tsushima-ben;0;tsus1237;jpn;0;0;0;0;0;0;Unknow
Ōmuta-ben;0;omut1237;jpn;0;0;0;0;0;0;Unknow
Yanagawa-ben;0;yana1269;jpn;0;0;0;0;0;0;Unknow
Hirado-ben;0;hira1247;jpn;0;0;0;0;0;0;Unknow
Sasebo-ben;0;sase1237;jpn;0;0;0;0;0;0;Unknow
Kitakyūshū-ben;0;kita1251;jpn;0;0;0;0;0;0;Unknow
Miyazaki-ben;0;miya1258;jpn;0;0;0;0;0;0;Unknow
Ōita-ben;0;oita1237;jpn;0;0;0;0;0;0;Unknow
Morogata;0;moro1291;jpn;0;0;0;0;0;0;Unknow
Osumi-ben;0;osum1242;jpn;0;0;0;0;0;0;Unknow
Satsuma-ben;0;sats1242;jpn;0;0;0;0;0;0;Unknow
Chūgoku;0;chug1253;jpn;0;0;0;0;0;0;Unknow
Hokuriku;0;hoku1242;jpn;0;0;0;0;0;0;Unknow
Kinki;0;kink1238;jpn;0;0;0;0;0;0;Unknow
Shikoku;0;shik1243;jpn;0;0;0;0;0;0;Unknow
Umpaku;0;umpa1238;jpn;0;0;0;0;0;0;Unknow
Fukuyama;0;fuku1242;jpn;0;0;0;0;0;0;Unknow
Hiroshima;0;hiro1237;jpn;0;0;0;0;0;0;Unknow
Iwami;0;iwam1258;jpn;0;0;0;0;0;0;Unknow
Okayama;0;okay1237;jpn;0;0;0;0;0;0;Unknow
Tajima;0;taji1247;jpn;0;0;0;0;0;0;Unknow
Tango;0;tang1357;jpn;0;0;0;0;0;0;Unknow
Tottori;0;tott1237;jpn;0;0;0;0;0;0;Unknow
Yamaguchi;0;yama1261;jpn;0;0;0;0;0;0;Unknow
Fukui;0;fuku1241;jpn;0;0;0;0;0;0;Unknow
Kanazawa;0;kana1289;jpn;0;0;0;0;0;0;Unknow
Noto;0;noto1243;jpn;0;0;0;0;0;0;Unknow
